horizon,response,shock,irf
8,Y1,Y1,6.4e-05
8,Y1,Y3,6.1e-05
8,Y1,Y5,-3e-06
8,Y1,Y10,-2.7e-05
8,Y3,Repo,5.5e-05
8,Y3,Y1,3.6e-05
8,Y3,Y3,3.3e-05
8,Y3,Y5,2e-06
8,Y3,Y10,-1.6e-05
8,Y5,Repo,4.1e-05
8,Y5,Y1,3.2e-05
8,Y5,Y3,1.9e-05
8,Y5,Y5,3.7e-05
8,Y5,Y10,-2.3e-05
8,Y10,Repo,3e-05
8,Y10,Y1,2.4e-05
8,Y10,Y3,1.3e-05
8,Y10,Y5,3.4e-05
8,Y10,Y10,-1.9e-05
9,Repo,Repo,3.7e-05
9,Repo,Y1,2.4e-05
9,Repo,Y3,2.3e-05
9,Repo,Y5,-4e-06
9,Repo,Y10,-9e-06
9,Y1,Repo,3.9e-05
9,Y1,Y1,2.5e-05
9,Y1,Y3,2.5e-05
9,Y1,Y5,-6e-06
9,Y1,Y10,-9e-06
9,Y3,Repo,2.2e-05
9,Y3,Y1,1.4e-05
9,Y3,Y3,1.4e-05
9,Y3,Y5,-5e-06
9,Y3,Y10,-5e-06
9,Y5,Repo,2e-05
9,Y5,Y1,1.1e-05
9,Y5,Y3,1.5e-05
9,Y5,Y5,-1.7e-05
9,Y5,Y10,-1e-06
9,Y10,Repo,1.5e-05
9,Y10,Y1,8e-06
9,Y10,Y3,1.2e-05
9,Y10,Y5,-1.5e-05
9,Y10,Y10,0.0
10,Repo,Repo,1.4e-05
10,Repo,Y1,9e-06
10,Repo,Y3,9e-06
10,Repo,Y5,-1e-06
10,Repo,Y10,-4e-06
10,Y1,Repo,1.5e-05
10,Y1,Y1,1e-05
10,Y1,Y3,9e-06
10,Y1,Y5,-1e-06
10,Y1,Y10,-4e-06
10,Y3,Repo,8e-06
10,Y3,Y1,5e-06
10,Y3,Y3,5e-06
10,Y3,Y5,0.0
10,Y3,Y10,-2e-06
10,Y5,Repo,6e-06
10,Y5,Y1,5e-06
10,Y5,Y3,3e-06
10,Y5,Y5,5e-06
10,Y5,Y10,-3e-06
10,Y10,Repo,5e-06
10,Y10,Y1,4e-06
10,Y10,Y3,2e-06
10,Y10,Y5,4e-06
10,Y10,Y10,-3e-06
11,Repo,Repo,6e-06
11,Repo,Y1,4e-06
11,Repo,Y3,3e-06
11,Repo,Y5,-1e-06
11,Repo,Y10,-1e-06
11,Y1,Repo,6e-06
11,Y1,Y1,4e-06
11,Y1,Y3,4e-06
11,Y1,Y5,-1e-06
11,Y1,Y10,-1e-06
11,Y3,Repo,3e-06
11,Y3,Y1,2e-06
11,Y3,Y3,2e-06
11,Y3,Y5,-1e-06
11,Y3,Y10,-1e-06
11,Y5,Repo,3e-06
11,Y5,Y1,2e-06
11,Y5,Y3,2e-06
11,Y5,Y5,-2e-06
11,Y5,Y10,-0.0
11,Y10,Repo,2e-06
11,Y10,Y1,1e-06
11,Y10,Y3,2e-06
11,Y10,Y5,-2e-06
11,Y10,Y10,-0.0
12,Repo,Repo,2e-06
12,Repo,Y1,1e-06
12,Repo,Y3,1e-06
12,Repo,Y5,-0.0
12,Repo,Y10,-1e-06
12,Y1,Repo,2e-06
12,Y1,Y1,1e-06
12,Y1,Y3,1e-06
12,Y1,Y5,-0.0
12,Y1,Y10,-1e-06
12,Y3,Repo,1e-06
12,Y3,Y1,1e-06
12,Y3,Y3,1e-06
12,Y3,Y5,-0.0
12,Y3,Y10,-0.0
12,Y5,Repo,1e-06
12,Y5,Y1,1e-06
12,Y5,Y3,0.0
12,Y5,Y5,1e-06
12,Y5,Y10,-0.0
12,Y10,Repo,1e-06
12,Y10,Y1,1e-06
12,Y10,Y3,0.0
12,Y10,Y5,1e-06
12,Y10,Y10,-0.0
13,Repo,Repo,1e-06
13,Repo,Y1,1e-06
13,Repo,Y3,1e-06
13,Repo,Y5,-0.0
13,Repo,Y10,-0.0
13,Y1,Repo,1e-06
13,Y1,Y1,1e-06
13,Y1,Y3,1e-06
13,Y1,Y5,-0.0
13,Y1,Y10,-0.0
13,Y3,Repo,1e-06
13,Y3,Y1,0.0
13,Y3,Y3,0.0
13,Y3,Y5,-0.0
13,Y3,Y10,-0.0
13,Y5,Repo,0.0
13,Y5,Y1,0.0
13,Y5,Y3,0.0
13,Y5,Y5,-0.0
13,Y5,Y10,-0.0
13,Y10,Repo,0.0
13,Y10,Y1,0.0
13,Y10,Y3,0.0
13,Y10,Y5,-0.0
13,Y10,Y10,-0.0
14,Repo,Repo,0.0
14,Repo,Y1,0.0
14,Repo,Y3,0.0
14,Repo,Y5,-0.0
14,Repo,Y10,-0.0
14,Y1,Repo,0.0
14,Y1,Y1,0.0
14,Y1,Y3,0.0
14,Y1,Y5,-0.0
14,Y1,Y10,-0.0
14,Y3,Repo,0.0
14,Y3,Y1,0.0
14,Y3,Y3,0.0
14,Y3,Y5,-0.0
14,Y3,Y10,-0.0
14,Y5,Repo,0.0
14,Y5,Y1,0.0
14,Y5,Y3,0.0
14,Y5,Y5,0.0
