horizon,response,shock,irf,ci_lo,ci_hi
4,Y10,Y5,0.001994,-3.9e-05,0.00582
4,Y10,Y10,-0.000924,-0.002857,0.000667
5,Repo,Repo,0.001598,5.5e-05,0.004749
5,Repo,Y1,0.001009,2.9e-05,0.002744
5,Repo,Y3,0.001012,0.000137,0.002542
5,Repo,Y5,-0.000185,-0.000906,0.000408
5,Repo,Y10,-0.000389,-0.001358,0.000194
5,Y1,Repo,0.001698,2.2e-05,0.005751
5,Y1,Y1,0.001091,-9.2e-05,0.003138
5,Y1,Y3,0.001069,5.5e-05,0.002962
5,Y1,Y5,-0.000303,-0.001566,0.000676
5,Y1,Y10,-0.000388,-0.001697,0.000282
5,Y3,Repo,0.000953,-0.0,0.003698
5,Y3,Y1,0.000609,-0.000144,0.002025
5,Y3,Y3,0.000608,-5.8e-05,0.001839
5,Y3,Y5,-0.000239,-0.001115,0.000573
5,Y3,Y10,-0.000202,-0.001121,0.000197
5,Y5,Repo,0.000892,-2e-06,0.003403
5,Y5,Y1,0.00047,-0.000517,0.001828
5,Y5,Y3,0.000688,-1e-06,0.001839
5,Y5,Y5,-0.000944,-0.003077,-0.00012
5,Y5,Y10,3.1e-05,-0.000807,0.000871
5,Y10,Repo,0.000684,-8e-06,0.002641
5,Y10,Y1,0.000345,-0.000487,0.001437
5,Y10,Y3,0.000542,-1.6e-05,0.001585
5,Y10,Y5,-0.000834,-0.002851,-6.6e-05
5,Y10,Y10,6.6e-05,-0.000628,0.000775
6,Repo,Repo,0.000617,2e-06,0.002337
6,Repo,Y1,0.0004,-1.1e-05,0.001306
6,Repo,Y3,0.000382,1.2e-05,0.001224
6,Repo,Y5,-5e-05,-0.000307,0.000228
6,Repo,Y10,-0.000159,-0.000709,4.6e-05
6,Y1,Repo,0.00065,-1.8e-05,0.002693
6,Y1,Y1,0.000423,-1.5e-05,0.001573
6,Y1,Y3,0.000401,-4.2e-05,0.00137
6,Y1,Y5,-1.5e-05,-0.000466,0.000545
6,Y1,Y10,-0.000183,-0.000813,0.00011
6,Y3,Repo,0.000359,-2.6e-05,0.001816
6,Y3,Y1,0.000236,-2.5e-05,0.001012
6,Y3,Y3,0.000218,-4.8e-05,0.000879
6,Y3,Y5,1.7e-05,-0.000296,0.000343
6,Y3,Y10,-0.000109,-0.000527,6.7e-05
