Date,yield_Y1,exp_rate_Y1,term_prem_Y1,yield_Y3,exp_rate_Y3,term_prem_Y3,yield_Y5,exp_rate_Y5,term_prem_Y5,yield_Y10,exp_rate_Y10,term_prem_Y10
2006-05-31,6.465,6.533109517275509,-0.06810951727550929,6.854,6.533934971806147,0.3200650281938531,7.242,6.534100066057143,0.7078999339428567,7.659,6.534223886745389,1.1247761132546108
2006-06-30,7.043,7.010646875678806,0.03235312432119386,7.335,7.019393091040182,0.31560690895981836,7.691,7.02114236695935,0.6698576330406496,8.151,7.022454323898725,1.1285456761012744
2006-07-31,6.877,7.053599865249036,-0.17659986524903637,7.326,7.05764027009748,0.26835972990252,7.843,7.0584483645125164,0.7845516354874835,8.238,7.059054435323797,1.1789455646762024
2006-08-31,6.819,7.035579974516042,-0.21657997451604238,7.326,7.0374752792395,0.28852472076049995,7.569,7.037854346444501,0.531145653555499,7.891,7.0381386468482505,0.8528613531517495
2006-09-30,6.777,6.995769458063362,-0.21876945806336145,7.246,6.9960580894285425,0.24994191057145798,7.426,6.996115816173652,0.4298841838263483,7.642,6.996159111232483,0.6458408887675171
2006-10-31,7.073,7.371661958546578,-0.2986619585465773,7.277,7.37582786507704,-0.09882786507704022,7.465,7.376661061891406,0.08833893810859372,7.625,7.377285959502178,0.2477140404978222
2006-11-30,6.979,7.2210612767855205,-0.24206127678552036,7.162,7.220352618358664,-0.05835261835866401,7.314,7.220210883704954,0.09378911629504572,7.424,7.220104582714678,0.203895417285322
2006-12-31,7.319,7.359256642177262,-0.04025664217726188,7.423,7.362394235483235,0.06060576451676525,7.53,7.363021766154505,0.16697823384549526,7.619,7.363492414157955,0.2555075858420448
2007-01-31,7.245,7.651020621536351,-0.4060206215363511,7.659,7.658519340638384,0.0004806593616155652,7.637,7.660019110726963,-0.023019110726963277,7.738,7.6611439382933915,0.07685606170660897
2007-02-28,7.651,7.593421609235757,0.05757839076424265,7.882,7.595650478540396,0.2863495214596039,7.945,7.596096261294294,0.34890373870570635,8.0,7.596430598359718,0.403569401640282
2007-03-31,7.694,7.54167418355163,0.15232581644836962,7.987,7.543260995453541,0.4437390045464591,7.96,7.543578363586189,0.41642163641381114,8.022,7.543816389685671,0.4781836103143293
2007-04-30,8.042,7.901210825201162,0.14078917479883746,8.134,7.906378087808572,0.22762191219142824,8.128,7.9074115596571,0.22058844034290015,8.173,7.908186663543493,0.2648133364565073
2007-05-31,7.623,7.61155404419933,0.011445955800669871,7.848,7.607475023288998,0.2405249767110016,7.966,7.606659203706641,0.3593407962933588,8.08,7.606047339019873,0.4739526609801272
2007-06-30,7.538,7.724611784083774,-0.186611784083774,7.841,7.723425827849143,0.11757417215085741,7.927,7.723188632784187,0.2038113672158124,8.187,7.723010736485471,0.4639892635145282
2007-07-31,7.012,7.5645235717116535,-0.5525235717116539,7.386,7.558615293705766,-0.1726152937057659,7.492,7.557433616109345,-0.0654336161093454,7.845,7.556547357912028,0.2884526420879716
2007-08-31,7.183,7.90542734930387,-0.72242734930387,7.763,7.91240335416121,-0.1494033541612101,7.792,7.9137985792251095,-0.12179857922510973,7.93,7.914844998023032,0.015155001976967952
2007-09-30,7.096,7.74975967095675,-0.6537596709567497,7.78,7.750344265783032,0.0296557342169681,7.805,7.750461186433269,0.054538813566730404,7.925,7.750548876920951,0.17445112307904864
2007-10-31,7.255,7.763308592734039,-0.5083085927340392,7.75,7.763090592862091,-0.013090592862091022,7.768,7.763046992454705,0.0049530075452945965,7.839,7.763014292149165,0.07598570785083503
2007-11-30,7.564,7.79579133517993,-0.23179133517993034,7.814,7.796304897980864,0.017695102019136044,7.887,7.796407613110912,0.09059238688908788,7.905,7.796484649458448,0.10851535054155192
2007-12-31,7.732,7.733094371065369,-0.0010943710653688044,7.696,7.7313951432674015,-0.035395143267401785,7.81,7.731055292157977,0.07894470784202223,7.791,7.730800403825912,0.060199596174088654
2008-01-31,7.473,7.685861441420308,-0.2128614414203085,7.515,7.684064420150018,-0.16906442015001844,7.503,7.683705009008891,-0.18070500900889108,7.529,7.683435450653044,-0.1544354506530441
2008-02-29,7.504,7.725079314255623,-0.22107931425562377,7.454,7.723884954055442,-0.269884954055442,7.554,7.7236460778464835,-0.16964607784648322,7.568,7.723466920689767,-0.15546692068976764
2008-03-31,7.564,7.773178500512138,-0.20917850051213804,7.617,7.7735353230819975,-0.15653532308199747,7.771,7.773606689630469,-0.0026066896304692833,7.938,7.773660214541821,0.1643397854581785
2008-04-30,7.767,7.875394035801002,-0.10839403580100182,7.894,7.880352420869124,0.01364757913087633,7.913,7.881344115427767,0.031655884572233006,7.956,7.882087886346753,0.07391211365324768
2008-05-31,7.892,7.781166146344622,0.11083385365537879,7.989,7.7819201040163914,0.20707989598360843,8.049,7.782070898611698,0.2669291013883015,8.101,7.782183994558178,0.318816005441823
2008-06-30,9.225,9.29782815782025,-0.07282815782025054,9.292,9.32799089110011,-0.035990891100111,8.91,9.334023547319704,-0.42402354731970426,8.713,9.338548039484392,-0.6255480394843929
2008-07-31,9.433,9.12680981365991,0.3061901863400891,9.341,9.131728185799275,0.20927181420072394,9.367,9.132711878920365,0.23428812107963637,9.316,9.13344964876118,0.18255035123882024
2008-08-31,9.149,8.979447609168082,0.16955239083191742,9.167,8.980050375878026,0.1869496241219739,8.855,8.980170930128743,-0.1251709301287427,8.7,8.980261345816782,-0.28026134581678264
2008-09-30,8.92,8.779064235098966,0.14093576490103388,8.634,8.769529357083501,-0.13552935708350056,8.558,8.767622348184254,-0.2096223481842543,8.617,8.766192091509819,-0.14919209150981771
2008-10-31,7.52,7.191445314034103,0.328554685965897,7.353,7.162034956321959,0.190965043678041,7.53,7.156152776043248,0.3738472239567523,7.478,7.151741140834215,0.3262588591657849
2008-11-30,7.195,7.174427754943228,0.020572245056772687,6.883,7.1609522290904755,-0.27795222909047546,7.14,7.158257075290673,-0.01825707529067344,7.08,7.1562357099408205,-0.0762357099408204
2008-12-31,4.836,5.568755736044724,-0.7327557360447239,5.308,5.538639541157061,-0.23063954115706142,5.381,5.532616188230273,-0.1516161882302729,5.26,5.5280986735351805,-0.2680986735351807
2009-01-31,4.625,5.151403814890944,-0.5264038148909442,5.575,5.135529665139761,0.4394703348602391,5.982,5.13235477935235,0.8496452206476501,6.187,5.129973615011793,1.0570263849882071
2009-02-28,4.685,5.480827957314779,-0.7958279573147795,5.566,5.478633399364421,0.08736660063557888,5.878,5.4781944813383046,0.39980551866169556,6.328,5.477865292818719,0.8501347071812813
2009-03-31,4.899,4.991298548653724,-0.09229854865372378,6.101,4.99073423978972,1.1102657602102797,6.763,4.990621375352382,1.7723786246476179,7.014,4.990536727024381,2.0234632729756195
2009-04-30,3.957,4.429791438512566,-0.4727914385125658,5.465,4.420469186940284,1.0445308130597155,6.078,4.418604700431534,1.659395299568466,6.242,4.417206335549973,1.824793664450027
