Date,beta1_level,beta2_slope,beta3_curvature,fitted_Y1,residual_Y1,fitted_Y3,residual_Y3,fitted_Y5,residual_Y5,fitted_Y10,residual_Y10,Y1,Y3,Y5,Y10,Repo
2006-04-30,7.684065284909993,-0.4396648761555767,-3.90040285543902,6.314936127670691,-0.001936127670691512,6.691767069598712,0.03223293040128805,7.040076146505257,-0.06107614650525672,7.359220656225332,0.03077934377466729,6.313,6.724,6.979,7.39,6.5
2006-05-31,8.04404333243465,-0.20736909261997072,-5.068755910475645,6.465620393760447,-0.00062039376044698,6.843671595936157,0.010328404063843166,7.261570641325969,-0.019570641325969085,7.649137368977412,0.009862631022587998,6.465,6.854,7.242,7.659,6.5
2006-06-30,8.534706878379897,0.27422277590383776,-5.683841346625197,7.044332925103767,-0.0013329251037665912,7.31280927221361,0.02219072778638953,7.733047810250769,-0.04204781025076887,8.129809992431838,0.021190007568161917,7.043,7.335,7.691,8.151,6.75
2006-07-31,8.697599010568856,-0.39057416026585295,-5.560359147644261,6.876107718468115,0.0008922815318843647,7.340854830572818,-0.014854830572818223,7.814852518617416,0.02814748138258416,8.252184932341645,-0.014184932341645862,6.877,7.326,7.843,8.238,7.0
2006-08-31,8.14114716593645,-1.0740496176452705,-2.521808120454595,6.820194919609078,-0.0011949196090776937,7.306106807429255,0.019893192570744844,7.606694355703367,-0.03769435570336732,7.872003917258293,0.018996082741707276,6.819,7.326,7.569,7.891,7.0
2006-09-30,7.814906451333625,-1.2412232717028566,-1.220039590920085,6.777711770669459,-0.0007117706694588222,7.234150340084644,0.011849659915356803,7.448453173075408,-0.02245317307540784,7.630684716170483,0.011315283829516964,6.777,7.246,7.426,7.642,7.0
2006-10-31,7.795975793327321,-0.2705817570034516,-1.9866900130805853,7.0728726930836165,0.0001273069163838514,7.279119423753601,-0.0021194237536006355,7.460984037626417,0.004015962373582482,7.627023845536356,-0.0020238455363559282,7.073,7.277,7.465,7.625,7.25
2006-11-30,7.554538942872931,-0.34256446108053035,-1.3393014452449368,6.978707205279308,0.00029279472069188017,7.166874488390737,-0.004874488390736786,7.304763639440016,0.009236360559984114,7.428654666889925,-0.0046546668899249966,6.979,7.162,7.314,7.424,7.25
2006-12-31,7.7161558728891135,-0.10876278529780944,-1.1676419652930812,7.318898109814717,0.00010189018528272697,7.424696282378684,-0.001696282378683911,7.526785821525218,0.0032141784747823365,7.620619786281373,-0.001619786281373159,7.319,7.423,7.53,7.619,7.25
2007-01-31,7.739516293516191,-1.491474118412839,1.1422299230495556,7.246549071700052,-0.0015490717000519183,7.633210832761596,0.025789167238404076,7.685866266172262,-0.04886626617226231,7.713373829366086,0.02462617063391459,7.245,7.659,7.637,7.738,7.5
